製品名,メーカー名,分類,医薬品の種類,効能効果,用法用量,年齢制限,成分,禁止物質あり,競技会区分,条件,pmda_薬効分類,pmda_リスク区分
パンシロンソフトベール,ロート製薬,第2類,胃腸薬,"胃もたれ,吐き気(むかつき,嘔気,悪心),食欲不振,胸やけ,嘔吐,胸つかえ,胃部・腹部膨満感,食べ過ぎ,飲み過ぎ",次の量を食後に水又はお湯で服用すること。  [年齢:1回量:1日服用回数] 15才以上:1カプセル:3回 15才未満:服用しないこと,[年齢:1回量:1日服用回数] 15才以上:1カプセル:3回 15才未満:服用しないこと,"コウボク乾燥エキス
ソウジュツ乾燥エキス
テプレノン
銅クロロフィリンナトリウム",禁止物質なし,,,,
ササイサン,和漢薬研究所,第2類,胃腸薬,"食欲不振,胃部・腹部膨満感,消化不良,胃弱,食べ過ぎ,飲み過ぎ,胸やけ,胃もたれ,胸つかえ,吐き気(むかつき,胃のむかつき,二日酔・悪酔のむかつき,嘔気,悪心),嘔吐","次の量を食間に温湯又は水にて服用してください。(食間とは,食後2〜3時間を指します。)  [年齢:1回量:1日服用回数] 15歳以上:1包(1.5g):3回 11歳以上15歳未満:2/3包:3回 8歳以上11歳未満:1/2包:3回 5歳以上8歳未満:1/3包:3回 3歳以上5歳未満:1/4包:3回 3歳未満:服用しないこと",回 11歳以上15歳未満:2/3包:3回 8歳以上11歳未満:1/2包:3回 5歳以上8歳未満:1/3包:3回 3歳以上5歳未満:1/4包:3回 3歳未満:服用しないこと,"オウバク乾燥エキス
カンゾウ乾燥エキス
ハッカ",禁止物質なし,,,,
ワクナガ生薬胃腸薬,湧永製薬,第2類,胃腸薬,"飲み過ぎ,胃弱,食欲減退,胃もたれ,食べ過ぎ,消化不良,胸つかえ,胃部・腹部膨満感,胸やけ,吐き気(むかつき,胃のむかつき,二日酔・悪酔のむかつき,嘔気,悪心),嘔吐",1回次の量を食後に水又はお湯と一緒に服用してください。  [年齢:1回量:1日服用回数] 大人(15才以上):1包:3回 11才以上15才未満:2/3包:3回 8才以上11才未満:1/2包:3回 5才以上8才未満:1/3包:3回 5才未満:服用させないでください,,"カンゾウ末
キジツ末
ケイヒ末
コウボク末
ゴシュユ末
シュクシャ末
ショウキョウ末
ソウジュツ末
チンピ末
ボレイ末",禁止物質あり,常に禁止(競技会検査及び競技会外検査)セクション	:S3. ベータ−2作用剤,,,
オウレンいけだや,延寿堂,第2類,胃腸薬,"胃弱,食欲不振,胃部・腹部膨満感,消化不良,食べ過ぎ,飲み過ぎ,胃のむかつき,下痢","[年齢:1日量] 大人(15歳以上):本品3gを,水約300mLで約半量になるまで煮詰め,滓をこして取り去り食前または食間3回に分服する。 15歳未満:服用しないこと",15歳未満:服用しないこと,オウレン,禁止物質なし,,,,
オウレン末いけだや,延寿堂,第2類,胃腸薬,"胃弱,食欲不振,胃部・腹部膨満感,消化不良,食べ過ぎ,飲み過ぎ,胃のむかつき,下痢",次の量を食前または食間に服用して下さい。  [年齢:1回量:1日服用回数] 大人(15才以上):0.5g:3回 15才未満:服用しないで下さい   ※添付さじ1杯0.5g,[年齢:1回量:1日服用回数] 大人(15才以上):0.5g:3回 15才未満:服用しないで下さい   ※添付さじ1杯0.5g,オウレン末,禁止物質なし,,,,
フラーリンJ粒,剤盛堂薬品,第2類,胃腸薬,食欲不振、胃部・腹部膨満感、消化不良、胃弱、食べ過ぎ、飲み過ぎ、胸やけ、胃もたれ、胸つかえ、はきけ(むかつき、胃のむかつき、二日酔・悪酔のむかつき、嘔気、悪心)、嘔吐,次の量を食後に、コップ半分以上のぬるま湯にて服用して下さい。  [年齢:1回量(容器入りの場合):1回量(分包品の場合):1日服用回数] 大人(15歳以上):1.5g(添付のサジ1杯):1包:3回 11歳以上15歳未満:大人の2/3の量(1.0g):2/3包:3回 8歳以上11歳未満:大人の1/2の量(0.75g):1/2包:3回 5歳以上8歳未満:大人の1/3の量(0.5g):1/3包:3回 1歳以上5歳未満:大人の1/4の量(0.375g):1/4包:3回 1歳未満:服用しないこと,/2包:3回 5歳以上8歳未満:大人の1/3の量(0.5g):1/3包:3回 1歳以上5歳未満:大人の1/4の量(0.375g):1/4包:3回 1歳未満:服用しないこと,"オウレン末
カンゾウ末
ケイヒエキス
コウボク末
ショウキョウエキス
ニンジンエキス
ビャクジュツ末
合成ケイ酸アルミニウム
沈降炭酸カルシウム
炭酸水素ナトリウム
牛胆
酸化マグネシウム",禁止物質なし,,,,
新新胃腸薬S,新新薬品工業,第2類,胃腸薬,"食欲不振(食欲減退),胃部・腹部膨満感,消化不良,胃弱,食べ過ぎ(過食),飲み過ぎ(過飲),胸やけ,もたれ(胃もたれ),胸つかえ,吐き気(むかつき,胃のむかつき,二日酔・悪酔のむかつき,嘔気,悪心),嘔吐,げっぷ(おくび),胃酸過多,胃部不快感,胃痛,胃重,消化促進",次の量を食後に服用してください。  [年齢:1回量:1日服用回数] 15歳以上(大人):1包:3回 11歳以上15歳未満:2/3包:3回 8歳以上11歳未満:1/2包:3回 5歳以上8歳未満:1/3包:3回 5歳未満:服用しないこと,回数] 15歳以上(大人):1包:3回 11歳以上15歳未満:2/3包:3回 8歳以上11歳未満:1/2包:3回 5歳以上8歳未満:1/3包:3回 5歳未満:服用しないこと,"カンゾウ末
ガジュツ末
ケイヒ末
シュクシャ末
ショウキョウ末
チョウジ末
ビオヂアスターゼ
ボレイ末
ロートエキス",禁止物質あり,常に禁止(競技会検査及び競技会外検査)セクション	:S3. ベータ−2作用剤,,,
イスロ胃腸ドリンクS,ゼネル薬工粉河,第2類,胃腸薬,"食欲不振(食欲減退),胃部・腹部膨満感,消化不良,胃弱,食べ過ぎ(過食),飲み過ぎ(過飲),胸やけ,もたれ(胃もたれ),胸つかえ,吐き気(むかつき,胃のむかつき,二日酔・悪酔のむかつき,嘔気,悪心),嘔吐","成人(15歳以上)は1回1瓶(30mL)を1日2回服用する。但し,服用間隔は4時間以上おくこと。",15,"カルニチン塩化物
ゲンチアナ流エキス
ショウキョウチンキ
人参エキス−P
延胡索乾燥エキス
蒼朮流エキス",禁止物質なし,,,,
大光丸,大佛堂製薬,第2類,胃腸薬,"食欲不振(食欲減退)、胃部・腹部膨満感、消化不良、胃弱、食べすぎ,飲みすぎ、胸やけ、もたれ(胃のもたれ)、胸つかえ、はきけ(むかつき、胃のむかつき、二日酔・悪酔のむかつき、嘔気、悪心)。",15才以上 ・・・・・・・・・・・1回20粒 11才以上15才未満 ・・・1回13粒 8才以上11才未満 ・・・・1回10粒 5才以上8才未満 ・・・・・1回6粒 3才以上5才未満 ・・・・・1回5粒  1日3回食後、白湯又は水にて服用して下さい。,,"オウバク末
オウレン末
ゲンノショウコ末
ショウキョウ末
センブリ末
ダイオウ末",禁止物質なし,,,,
大光丸,大佛堂製薬,第2類,胃腸薬,"食欲不振(食欲減退)、胃部・腹部膨満感、消化不良、胃弱、食べすぎ,飲みすぎ、胸やけ、もたれ(胃のもたれ)、胸つかえ、はきけ(むかつき、胃のむかつき、二日酔・悪酔のむかつき、嘔気、悪心)。",15才以上 ・・・・・・・・・・・1回20粒 11才以上15才未満 ・・・1回13粒 8才以上11才未満 ・・・・1回10粒 5才以上8才未満 ・・・・・1回6粒 3才以上5才未満 ・・・・・1回5粒  1日3回食後、白湯又は水にて服用して下さい。,,"オウバク末
オウレン末
ゲンノショウコ末
ショウキョウ末
センブリ末
ダイオウ末",禁止物質なし,,,,
大光丸,大佛堂製薬,第2類,胃腸薬,"食欲不振(食欲減退)、胃部・腹部膨満感、消化不良、胃弱、食べすぎ,飲みすぎ、胸やけ、もたれ(胃のもたれ)、胸つかえ、はきけ(むかつき、胃のむかつき、二日酔・悪酔のむかつき、嘔気、悪心)。",15才以上 ・・・・・・・・・・・1回20粒 11才以上15才未満 ・・・1回13粒 8才以上11才未満 ・・・・1回10粒 5才以上8才未満 ・・・・・1回6粒 3才以上5才未満 ・・・・・1回5粒  1日3回食後、白湯又は水にて服用して下さい。,,"オウバク末
オウレン末
ゲンノショウコ末
ショウキョウ末
センブリ末
ダイオウ末",禁止物質なし,,,,
大光丸,大佛堂製薬,第2類,胃腸薬,"食欲不振(食欲減退)、胃部・腹部膨満感、消化不良、胃弱、食べすぎ,飲みすぎ、胸やけ、もたれ(胃のもたれ)、胸つかえ、はきけ(むかつき、胃のむかつき、二日酔・悪酔のむかつき、嘔気、悪心)。",15才以上 ・・・・・・・・・・・1回20粒 11才以上15才未満 ・・・1回13粒 8才以上11才未満 ・・・・1回10粒 5才以上8才未満 ・・・・・1回6粒 3才以上5才未満 ・・・・・1回5粒  1日3回食後、白湯又は水にて服用して下さい。,,"オウバク末
オウレン末
ゲンノショウコ末
ショウキョウ末
センブリ末
ダイオウ末",禁止物質なし,,,,
オウレンダイコー,大晃生薬,第2類,胃腸薬,胃弱、食欲不振、胃部膨満感・腹部膨満感、消化不良、食べ過ぎ、飲み過ぎ、胃のむかつき、下痢,"大人(15歳以上)は1日量3gを、水約300mLで約半量になるまで煮つめ、かすをこして取り去り、食前又は食間3回に分服する
(食間とは、食後2~3時間を指します)",,オウレン,禁止物質なし,,,,
オウレン末ダイコー,大晃生薬,第2類,胃腸薬,胃弱、食欲不振、胃部膨満感・腹部膨満感、消化不良、食べ過ぎ、飲み過ぎ、胃のむかつき、下痢,"大人(15歳以上)は1回量0.5g、1日3回、食前又は食間に服用する
(食間とは、食後2~3時間を指します)",,オウレン末,禁止物質なし,,,,
液キャベコーワL,興和,第2類,胃腸薬,"食べ過ぎ,飲み過ぎ,もたれ,胸やけ,胸つかえ,消化不良,胃弱,胃部・腹部膨満感,はきけ(二日酔・悪酔のむかつき,むかつき,胃のむかつき,嘔気,悪心),嘔吐,食欲不振","成人(15歳以上)1日1回,1本を服用してください。",,"カンゾウエキス
ショウキョウ流エキス
チョウジチンキ
チンピエキス
ニンジンエキス
ハッカ油
モッコウエキス
合成ヒドロタルサイト",禁止物質あり,常に禁止(競技会検査及び競技会外検査)セクション	:S3. ベータ−2作用剤,,,
大草胃腸薬内服液30,大草薬品,第2類,胃腸薬,食欲減退,"次の量を食前又は食間に服用してください
服用間隔は4時間以上おいてください
成人(15歳以上):1回1本(30mL)
1日2回服用
15歳未満:服用しないでください
<用法・用量に関連する注意>
1.用法・用量を厳守してください
2.本剤は生薬成分を含むため、まれに沈殿を生じることがありますが、効果に変わりはありませんよく振ってから服用してください",15,"オウゴンエキス
オウレン流エキス
カンゾウエキス
ケイヒ流エキス
チンピエキス
人参流エキス
生姜流エキス
蒼朮流エキス",禁止物質なし,,,,
